ms,valve_a_pct,valve_b_pct,q_des_csv,qdes,qdes_esn,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
5467,81.57735392565998,37.37776359741319,16.04748036292432,17.58359504095309,17.58359504095309,,3597,4.391941391941392,509.2472527472528,2020,2.4664224664224665,221.86355311355314,2.5866264522268607,2.5034833935462095,21.708984375
5500,81.89696761699918,37.580805204222635,16.04748036292432,19.246112829702966,19.246112829702966,,3548,4.332112332112333,500.31776556776566,2037,2.4871794871794872,224.96153846153845,2.5710272406776347,2.5156238633660752,20.0390625
5533,82.05125470860091,37.71393499301255,16.04748036292432,21.761146870388053,21.761146870388053,,3493,4.264957264957265,490.29487179487177,2050,2.503052503052503,227.33058608058607,2.572589434956522,2.508053633295766,19.6875
5567,83.27600290601487,36.74306398190206,16.04748036292432,23.79370676776684,23.79370676776684,,3506,4.280830280830281,492.6639194139194,2051,2.5042735042735043,227.51282051282053,2.572589434956522,2.508053633295766,19.599609375
5600,84.5132337791658,35.452868005644504,16.04748036292432,24.621918041185918,24.621918041185918,,3512,4.288156288156288,493.75732600732596,2053,2.5067155067155067,227.87728937728937,2.5809483840905805,2.510478479040526,19.3359375
5633,87.20741863916408,33.52988914340527,16.04748036292432,25.35034473966924,25.35034473966924,,3519,4.2967032967032965,495.032967032967,2047,2.4993894993894994,226.78388278388277,2.579518365004407,2.5121861178452938,19.51171875
5667,90.1322830796215,30.39185984602679,16.207163712328303,26.05295441647571,26.05295441647571,,3549,4.333333333333334,500.50000000000006,1992,2.432234432234432,216.76098901098896,2.5608255370470205,2.5115945962687927,19.599609375
5700,98.53208452883517,22.369735553661492,23.319288662213985,29.303634510538828,29.303634510538828,,3586,4.378510378510379,507.2426739926741,1944,2.3736263736263736,208.01373626373626,2.5608255370470205,2.5115945962687927,21.62109375
5733,100.0,20.0,23.319288662213985,33.299370619468476,33.299370619468476,,3634,4.437118437118437,515.9899267399268,1878,2.293040293040293,195.9862637362637,2.5338177222708045,2.4821952913859007,23.90625
5767,100.0,20.0,23.319288662213985,35.93306575175368,35.93306575175368,,3705,4.523809523809524,528.9285714285714,1823,2.225885225885226,185.96336996336998,2.5190765583429355,2.467772571500226,24.9609375
5800,100.0,20.0,23.319288662213985,35.98055975153624,35.98055975153624,,3740,4.566544566544566,535.3067765567765,1775,2.1672771672771676,177.21611721611725,2.4667490545172215,2.465529549474439,26.630859375
5833,99.53476983363633,20.886113213673745,23.319288662213985,32.64100602702335,32.64100602702335,,3781,4.616605616605617,542.7783882783883,1721,2.1013431013431014,167.37545787545787,2.4667490545172215,2.465529549474439,28.4765625
5867,93.27409610709942,26.3376901205445,23.319288662213985,28.950499464199527,28.950499464199527,,3822,4.666666666666667,550.25,1654,2.0195360195360195,155.16575091575092,2.441357976117716,2.385482551407682,29.35546875
5900,93.38744248202016,26.145679494916873,23.319288662213985,28.952199832415744,28.952199832415744,,3846,4.695970695970696,554.6236263736264,1637,1.9987789987789988,152.06776556776558,2.3595834613256357,2.3647118123228674,30.673828125
5933,92.63975200031963,26.83843529040109,23.319288662213985,28.762852375964513,28.762852375964513,,3841,4.68986568986569,553.7124542124542,1644,2.0073260073260073,153.3434065934066,2.4007703226680985,2.3208947587226305,31.376953125
5967,92.45237178422747,27.497751965909124,23.319288662213985,26.267472643779612,26.267472643779612,,3844,4.693528693528694,554.2591575091576,1652,2.017094017094017,154.80128205128204,2.348811961889271,2.3501846171668563,30.322265625
6000,91.4499864831351,28.141300551095505,23.319288662213985,26.854423128145505,26.854423128145505,,3853,4.704517704517705,555.8992673992674,1669,2.0378510378510377,157.8992673992674,2.348811961889271,2.3501846171668563,30.498046875
6033,91.33094491189134,28.335581175672143,23.319288662213985,26.5112250418487,26.5112250418487,,3866,4.7203907203907205,558.268315018315,1707,2.0842490842490844,164.82417582417582,2.419861887237209,2.349061535182164,30.322265625
6067,90.40685104262862,29.480584165597833,23.319288662213985,24.585065434265477,24.585065434265477,,3861,4.714285714285714,557.3571428571429,1734,2.1172161172161172,169.7445054945055,2.4281847754334684,2.4205300520152564,29.091796875
6100,89.57294862007836,30.187043900069042,23.319288662213985,24.691498851293254,24.691498851293254,,3858,4.710622710622711,556.8104395604395,1764,2.153846153846154,175.2115384615385,2.4281847754334684,2.4205300520152564,28.828125
6133,89.06921953397212,30.95161600411692,23.319288662213985,24.37943544535974,24.37943544535974,,3806,4.6471306471306475,547.3342490842491,1805,2.203907203907204,182.68315018315022,2.4739744589390336,2.3963792419223315,28.4765625
6167,87.53403412334669,31.49366958501012,23.319288662213985,22.14165439096812,22.14165439096812,,3759,4.589743589743589,538.7692307692307,1825,2.2283272283272284,186.32783882783883,2.4941294663800924,2.4061931931523417,26.89453125
6200,86.88244238442279,32.67765211567665,23.319288662213985,21.726932506830778,21.726932506830778,,3720,4.542124542124542,531.6620879120879,1850,2.258852258852259,190.88369963369962,2.4862316004951484,2.421552109488149,26.19140625
6233,85.83930953534549,33.723364568073464,23.319288662213985,21.13706340220223,21.13706340220223,,3673,4.484737484737485,523.0970695970695,1876,2.2905982905982905,195.62179487179483,2.4862316004951484,2.421552109488149,25.48828125
6267,85.10494241517884,34.292404230864804,23.319288662213985,20.22776294092821,20.22776294092821,,3656,4.463980463980464,519.9990842490843,1914,2.336996336996337,202.54670329670333,2.510429633764824,2.4141801783056436,24.609375
6300,84.14601132893573,34.99578981941362,23.318625937961706,19.36179472394862,19.36179472394862,,3634,4.437118437118437,515.9899267399268,1942,2.371184371184371,207.6492673992674,2.525444304941421,2.4223883302215463,23.73046875
6333,83.16081464233585,35.60635873497706,22.97928741231281,18.64266762642378,18.64266762642378,,3600,4.395604395604396,509.79395604395603,1959,2.391941391941392,210.74725274725273,2.5403570320869755,2.438151832838899,22.939453125
